3gram,count
新冠疫,37
半导体,27
冠疫情,25
新冠病,14
该公司,14
冠病毒,12
亿美元,12
冠疫苗,12
付费精,11
费精选,11
投资者,10
人民币,10
在中国,10
特斯拉,10
创新高,8
日本的,8
智能手,7
能手机,7
的新冠,7
零部件,7
本周热,6
周热读,6
集装箱,6
中国的,6
亿日元,6
在日本,6
国企业,6
疫苗的,6
日本国,6
台积电,6
二氧化,6
氧化碳,6
优衣库,6
金枪鱼,6
特朗普,5
为什么,5
消费者,5
越来越,5
的影响,5
公司的,5
是日本,5
国经济,5
可能会,5
超过了,5
是什么,5
约合人,5
合人民,5
中国企,5
的疫苗,5
被认为,5
阿里巴,5
里巴巴,5
数据中,5
据中心,5
知情人,5
情人士,5
人士透,5
士透露,5
意味着,5
了一些,5
在新冠,5
美国大,4
国大选,4
有什么,4
的关键,4
未来几,4
的做法,4
有可能,4
了新冠,4
计划在,4
数字货,4
字货币,4
利润率,4
的目标,4
新加坡,4
科学家,4
进行了,4
被称为,4
在全球,4
无人机,4
净利润,4
达到万,4
业利润,4
万亿日,4
市场的,4
的价格,4
自动驾,4
动驾驶,4
至月日,4
分析师,4
的销售,4
可能是,4
的情况,4
的需求,4
的人数,4
华尔街,4
销售额,4
股闻天,4
闻天下,4
日新增,4
本国内,4
死亡人,4
亡人数,4
比特币,4
的生产,4
领域的,4
疫情下,4
导体设,4
疫情的,4
情况下,4
霹雳舞,4
澳大利,4
大利亚,4
企业家,4
达到亿,4
到亿美,4
生产线,4
在推特,3
推特上,3
自己的,3
肺炎疫,3
疫情期,3
情期间,3
症状和,3
为疫情,3
来越多,3
默克尔,3
疫情对,3
货币的,3
的利润,3
在未来,3
唐人街,3
的稀土,3
生产的,3
随着中,3
中美关,3
美关系,3
餐饮店,3
开发的,3
有没有,3
德国经,3
好消息,3
这一消,3
一消息,3
并没有,3
全球最,3
的风险,3
和数据,3
一周热,3
的时间,3
感染新,3
染新冠,3
全球份,3
球份额,3
临床试,3
床试验,3
级自动,3
截至月,3
成交额,3
最大的,3
在中美,3
中国和,3
和美国,3
疫情让,3
可持续,3
中心的,3
的服务,3
服务器,3
的美国,3
进一步,3
类消费,3
款疫苗,3
制品消,3
品消费,3
各国的,3
全球的,3
和其他,3
美元的,3
年全年,3
的股价,3
德国的,3
尔街日,3
街日报,3
平台上,3
让人们,3
机器人,3
黄金回,3
